timestamp,temp,humidity,pressure,altitude
1671796572296,28,40,101661,33
1671796573297,27,56,101314,40
1671796574298,22,41,101574,36
1671796575299,26,56,101836,43
1671796576300,22,54,101452,37
1671796577300,29,51,101764,31
1671796578302,29,63,101864,42
1671796579303,20,46,101663,34
1671796580304,26,50,101467,35
1671796581304,26,52,101715,44
1671796582306,23,40,101564,44
1671796583306,27,44,101942,32
1671796584307,24,60,101632,36
1671796585308,20,40,101382,31
1671796629060,28,60,101332,43
1671796630056,20,51,101713,37
1671796631059,20,54,101362,37
1671796632063,26,59,101920,34
1671796633066,23,42,101784,31
1671796634071,27,59,101639,39
1671796635075,24,62,101924,34
1671796636078,26,43,101771,30
1671796637081,28,58,101770,37
1671796638082,24,60,101586,33
1671796639087,24,55,101384,45
1671796640090,21,60,101867,42
1671796641096,26,59,101595,34
1671796642098,22,50,101499,45
1671796643102,28,46,101521,32
1671796644106,23,45,101436,34
1671796645110,20,49,101648,40
1671796646114,27,62,101813,41
1671796647118,26,56,101836,35
1671796648122,20,55,101479,42
1671796649126,26,43,101820,40
1671796650131,29,59,101385,41
1671796651135,28,51,101405,45
1671796652138,26,47,101923,34
1671796653142,25,47,101817,33
1671796654146,23,54,101925,30
1671796655148,21,54,101514,34
1671797318986,24,51,101487,38
1671797319980,24,57,101648,40
1671797320982,23,61,101485,34
1671797321984,29,60,101761,38
1671797322984,24,56,101861,32
1671797323983,24,41,101617,44
1671797324988,27,56,101849,33
1671797325991,22,59,101341,38
1671797326992,24,60,101849,38
1671797327995,26,57,101547,39
1671797328999,22,47,101616,42
1671797330003,20,65,101981,42
1671797331006,24,55,101596,33
1671797332011,25,61,101651,44
1671807288289,26,45,101836,37
1671807292848,23,48,101901,33
1671807293847,23,55,101871,39
1671807294848,29,63,101417,43
1671807321615,23,64,101738,39
1671807322614,22,58,101819,39
1671807323615,28,57,101946,36
1671807324615,23,44,101417,41
1671807325616,23,56,101724,33
1671807425658,29,46,101728,42
1671807426657,27,46,101354,45
1671807427658,23,45,101942,35
1671807428660,27,55,101435,39
1671807429660,29,61,101542,36
1671807430662,28,40,101398,44
1671807431666,29,54,101611,42
1671807432670,22,40,101384,43
1671807433672,20,54,101647,45
1671807434676,24,55,101795,30
1671807435678,28,42,101462,40
1671807436682,26,62,101361,43
1671807437686,29,46,101634,38
1671807438690,27,58,101739,40
1671807439694,25,47,101398,35
1671807440698,20,64,101809,37
1671807441702,25,44,101932,41
1671807442706,29,63,101613,38
1671807443711,28,63,101751,37
1671807444714,20,42,101326,43
1671807445718,29,44,101359,41
1671807446722,29,60,101552,40
1671807447726,25,42,101712,38
1671807448730,22,42,101685,32
1671807449734,20,50,101915,36
1671807450738,20,51,101434,30
1671807451742,21,51,101442,43
1671807452746,29,60,101800,35
1671807453750,28,60,101820,44
1671807454754,27,43,101888,42
1671807455758,24,60,101763,34
1671807456762,29,47,101918,32
1671807457766,23,57,101908,33
1671807458770,27,49,101562,34
1671807459774,29,41,101736,38
1671807460778,26,45,101406,35
1671807461784,25,49,101510,41
1671807462786,26,53,101659,35
1671807463791,29,46,101551,39
1671807464794,28,41,101737,42
1671807465798,28,50,101967,42
1671807466802,29,43,101457,36
1671807467806,21,55,101570,41
1671807468810,25,56,101798,36
1671807469814,28,45,101735,35
1671807470818,21,55,101819,34
1671807471823,24,56,101732,45
1671807472826,28,62,101902,41
1671807473831,28,55,101358,33
1671807474835,29,50,101371,44
1671807475838,26,44,101694,35
1671807476842,21,45,101508,40
1671807477847,21,41,101385,33
1671807478850,25,52,101909,41
1671807479854,25,45,101402,35
1671807480858,23,62,101738,33
1671807481862,28,57,101576,30
1671807482867,25,65,101834,32
1671807483870,21,43,101933,40
1671807484876,28,44,101693,30
1671807485878,22,53,101644,39
1671807486883,20,54,101665,37
1671807487886,20,42,101981,31
1671807488890,26,45,101870,33
1671807489894,29,46,101416,43
1671807490898,25,41,101471,41
1671807491902,29,60,101608,43
1671807492906,29,58,101459,32
1671807493910,21,58,101576,40
1671807494916,21,62,101905,33
1671807495918,28,61,101825,43
1671807496922,28,60,101766,31
1671807497926,26,47,101843,43
1671807498932,20,44,101706,43
1671807499935,28,47,101777,35
1671807500936,22,63,101618,44
1671807501937,26,64,101574,33
1671807549052,28,56,101521,44
1671807550051,25,59,101585,33
1671807551052,23,63,101392,37
1671807552054,28,41,101842,43
1671807553064,21,40,101488,37
1671807554059,25,61,101318,30
1671807555062,21,48,101698,32
1671807556066,29,58,101495,33
1671807557066,21,53,101794,39
1671807558070,24,43,101902,42
1671807559074,20,47,101982,34
1671807560078,28,48,101848,41
1671807561082,26,52,101537,33
1671807562087,29,55,101975,30
1671807563090,28,41,101318,39
1671807564090,25,62,101843,38
1671807565091,25,49,101967,38
1671807566092,23,61,101420,33
1671807567093,26,43,101337,40
1671807568093,21,43,101720,32
1671807569098,22,46,101730,38
1671807570102,28,56,101623,45
1671807571103,20,61,101468,36
1671807572106,20,55,101909,42
1671807573111,24,61,101761,43
1671807574114,24,55,101504,41
1671807575118,28,61,101987,31
1671807576122,27,47,101919,43
1671807577126,21,59,101571,43
1671807578130,20,62,101577,39
1671807579134,22,46,101842,33
1671807580138,21,60,101510,32
1671807581142,29,49,101644,38
1671807582146,25,63,101587,44
1671807583150,21,45,101342,34
1671807584155,28,41,101551,42
1671807585159,29,65,101349,34
1671807586162,23,59,101690,44
1671807587166,22,49,101748,41
1671807588170,20,40,101324,33
1671807589175,28,59,101557,40
1671807590178,21,61,101760,33
1671807591184,28,59,101697,45
1671807592186,21,58,101911,39
1671807593191,28,60,101848,30
1671807594194,22,63,101568,34
1671807595198,25,65,101955,30
1671807596202,22,55,101486,30
1671807597206,27,54,101604,38
1671807598210,28,48,101757,41
1671807599214,20,58,101770,31
1671807600218,26,54,101808,42
1671807601222,29,64,101874,36
1671807602227,25,63,101963,34
1671807603230,20,45,101827,43
1671807604236,21,54,101739,41
1671807605238,27,42,101309,35
1671807606242,20,52,101439,39
1671807607247,20,53,101331,34
1671807608250,25,41,101331,39
1671807609254,28,63,101333,33
1671807610258,23,47,101442,31
1671807611263,28,58,101397,43
1671807612266,23,57,101407,38
1671807613267,23,63,101317,40
1671807614269,20,40,101549,43
1671807615270,29,58,101986,44
1671807616271,26,41,101726,43
1671807617272,28,62,101808,34
1671807618274,27,60,101529,34
1671807619275,26,60,101921,44
1671807620277,28,42,101635,41
1671807621277,21,52,101851,41
1671807622282,25,57,101548,35
1671807623286,26,44,101645,33
1671807624290,27,55,101547,33
1671807625294,21,61,101565,31
1671807626298,23,49,101498,40
1671807627302,29,44,101326,32
1671807628306,24,51,101504,38
